설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
양재시민의 숲 3번출구,서울특별시,서초구,서울특별시 서초구 강남대로48-3,,37.46928200,127.03990916,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재시민의 숲 1번출구 앞 버스정류장(222-98),서울특별시,서초구,서울특별시 서초구 강남대로45-2,,37.46860382,127.03959024,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22979),서울특별시,서초구,서울특별시 서초구 효령로22,,37.47738680,126.98748238,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22250),서울특별시,서초구,서울특별시 서초구 효령로92,,37.48016182,126.99459676,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
남부터미널 역 5번출구 옆,서울특별시,서초구,서울특별시 서초구 효령로292,,37.48354661,127.01511089,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
페이토호텔 앞,서울특별시,서초구,서울특별시 서초구 강남대로259,,37.48657325,127.03263341,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재시민의 숲 4번출구,서울특별시,서초구,서울특별시 서초구 강남대로27,,37.46827871,127.03913643,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22446),서울특별시,서초구,서울특별시 서초구 효령로336,,37.48602619,127.02098880,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22126),서울특별시,서초구,서울특별시 서초구 효령로418,,37.48861060,127.02958914,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22112),서울특별시,서초구,서울특별시 서초구 효령로341,,37.48663971,127.02131450,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
와라와라 앞,서울특별시,서초구,서울특별시 서초구 반포대로38,,37.48389485,127.01192082,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
서초고용센터 앞,서울특별시,서초구,서울특별시 서초구 반포대로43,,37.48422977,127.01084154,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
한독모터스 앞,서울특별시,서초구,서울특별시 서초구 반포대로72,,37.48692867,127.01058708,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
서초역 2번출구 앞,서울특별시,서초구,서울특별시 서초구 서초대로 240,,37.49157706,127.00834349,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
서초역 3번출구 앞,서울특별시,서초구,,서울특별시 서초구 서초동1541-5(반포대로),37.49092158,127.00791337,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22142),서울특별시,서초구,서울특별시 서초구 반포대로95,,37.48868462,127.00873994,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
방배역 3번출구 옆,서울특별시,서초구,서울특별시 서초구 효령로 120,,37.48108275,126.99742142,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22140),서울특별시,서초구,서울특별시 서초구 반포대로94,,37.48871122,127.00958381,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
방배역 1번출구 옆,서울특별시,서초구,서울특별시 서초구 효령로 34길 4,,37.48136451,126.99891766,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
"버스정류장 앞(22223),서래초근처",서울특별시,서초구,서울특별시 서초구 방배로 268,,37.49668577,126.98842081,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
방배열린문화센터 앞,서울특별시,서초구,서울특별시 서초구 방배로 173,,37.48900761,126.99224240,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
내방역 3번출구 앞,서울특별시,서초구,서울특별시 서초구 방배로 151,,37.48715828,126.99356020,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
내방역 5번출구 뒤,서울특별시,서초구,서울특별시 서초구 서초대로 101,,37.48790195,126.99319604,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
방배역 2번출구 앞,서울특별시,서초구,서울특별시 서초구 효령로 120,,37.48108275,126.99742142,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22548),서울특별시,서초구,서울특별시 서초구 방배로16,,37.47652276,127.00124382,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
구반포역 2번출구 앞,서울특별시,서초구,서울특별시 서초구 신반포로17,,37.50113938,126.98618386,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
고속터미널 역 8-1번 출구 앞,서울특별시,서초구,서울특별시 서초구 신반포로200,,37.50622031,127.00505168,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 옆(22990),서울특별시,서초구,서울특별시 서초구 반포대로275,,37.50239027,126.99596529,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신반포역 4번출구 앞,서울특별시,서초구,서울특별시 서초구 신반포로105,,37.50622031,127.00505168,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
킴스클럽 앞,서울특별시,서초구,서울특별시 서초구 잠원로69,,37.51026050,127.00697078,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22208),서울특별시,서초구,,서울특별시 서초구 잠원동160-2(잠원로),37.50994910,127.00777591,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22205),서울특별시,서초구,서울특별시 서초구 잠원로117,,37.51451892,127.00699572,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22417),서울특별시,서초구,서울특별시 서초구 남부순환로2183,,37.47511676,126.99109115,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
예술의 전당 앞(22151),서울특별시,서초구,서울특별시 서초구 남부순환로2406,,37.48024020,127.01421524,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
예술의 전당 앞 마임건너편(22025),서울특별시,서초구,서울특별시 서초구 남부순환로2406,,37.48024020,127.01421524,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22380),서울특별시,서초구,서울특별시 서초구 사평대로55,,37.49885315,126.99051566,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
골프존마켓 앞,서울특별시,서초구,서울특별시 서초구 사평대로98,,37.49865153,126.99545580,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22543),서울특별시,서초구,서울특별시 서초구 사평대로 126,서울특별시 서초구 반포동 93-1,37.4997669569,126.9983522893,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22544),서울특별시,서초구,서울특별시 서초구 사평대로142,,37.50037298,127.00106033,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22433),서울특별시,서초구,서울특별시 서초구 사평대로66,,37.49789692,126.99183708,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22195),서울특별시,서초구,,서울특별시 서초구 반포동20-49(사평대로),37.50491575,127.01441708,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22196),서울특별시,서초구,서울특별시 서초구 사평대로285,,37.50415890,127.01543420,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
이수역 1번 출구 뒤,서울특별시,서초구,서울특별시 서초구 동작대로 130,서울특별시 서초구 방배동1770,37.48801287,126.98263628,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
이수역 4번 출구 앞,서울특별시,서초구,서울특별시 서초구 동작대로 108,서울특별시 서초구 방배동3001-1,37.48609110,126.98261660,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
이수역 5번 출구 앞,서울특별시,서초구,서울특별시 서초구 방배천로 91,서울특별시 서초구 방배동3250,37.48479284,126.98259892,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
사당역 11번 출구 앞,서울특별시,서초구,서울특별시 서초구 동작대로 24,서울특별시 서초구 방배동443-3,37.47866249,126.98215218,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
사당역 12번 출구 앞,서울특별시,서초구,서울특별시 서초구 방배천로 11,서울특별시 서초구 방배동444-3,37.47770076,126.98223607,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
이수교차로 교통섬,서울특별시,서초구,서울특별시 서초구 방배중앙로 215,서울특별시 서초구 방배동752-7,37.49829312,126.98482858,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신한은행 반포남금융센터 앞,서울특별시,서초구,서울특별시 서초구 서초중앙로238,,37.50296195,127.01207098,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
"버스정류장 앞(22922),세란병원앞",서울특별시,서초구,서울특별시 서초구 명달로134,,37.48924257,127.00482473,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22466),서울특별시,서초구,서울특별시 서초구 고무래로34,,37.50248707,127.01251344,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
서리풀문화광장 앞,서울특별시,서초구,,서울특별시 서초구 서초동1498-47(서초대로),37.49074610,127.00467795,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22117),서울특별시,서초구,서울특별시 서초구 서운로104,,37.49341560,127.02649141,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22118),서울특별시,서초구,서울특별시 서초구 서운로107,,37.49300713,127.02545331,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22164),서울특별시,서초구,서울특별시 서초구 서운로201,,37.50132463,127.02012658,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22164),서울특별시,서초구,서울특별시 서초구 서운로212,,37.50185788,127.02242283,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22607),서울특별시,서초구,서울특별시 서초구 양재대로54,,37.45976394,127.02536054,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
서초힐스아파트 앞,서울특별시,서초구,서울특별시 서초구 양재대로2길 90,,37.45760527,127.01757053,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22422),서울특별시,서초구,서울특별시 서초구 매헌로24,,37.46343917,127.03552574,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재시민의 숲 5번 출구 앞,서울특별시,서초구,서울특별시 서초구 매헌로116,,37.46997873,127.03832577,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장 앞(22302),서울특별시,서초구,서울특별시 서초구 헌릉로13,,37.46512254,127.04475126,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
청계산입구 역 2번 출구,서울특별시,서초구,,서울특별시 서초구 원지동594-10(청계산로),37.44753815,127.05532023,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장(22175),서울특별시,서초구,서울특별시 서초구 잠원로14길 32,,37.51793353,127.01414253,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
반포 푸르지오101동 횡단보도앞,서울특별시,서초구,서울특별시 서초구 신반포로 105,,37.50622031,127.00505168,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
신반포역사거리(세화고등학교옆),서울특별시,서초구,서울특별시 서초구 신반포로 105,,37.50622031,127.00505168,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장(22211),서울특별시,서초구,서울특별시 서초구 신반포로 194,,37.50643574,127.00683437,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
버스정류장(22128),서울특별시,서초구,서울특별시 서초구 효령로 386,,37.48761254,127.02618915,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
양재역 5번 출구뒤,서울특별시,서초구,서울특별시 서초구 남부순환로 350길4,,37.48433811,127.03517845,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
원베일리정류장(22381),서울특별시,서초구,,서울특별시 서초구 반포동1-13,37.50750565,126.99965313,,재활용쓰레기,서울특별시 서초구청,02-2155-6728,2025-07-31
